Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4KUjFjNDceEqIkab8CwADY,"Coconuts","Heavy on the Bacon","Fouk",2015-10-02,387226,0,false,11149242335,2020-04-17T08:41:12Z,"jazz house,lo-fi house,funky house,disco house,nu disco","Room with a view",0.957,0.362,9,-10.776,0,0.15,0.0667,0.655,0.412,0.793,119.011,4
spotify:track:604xFnl666iRnaJcFZfdXj,"Aldo Raine","Whiskey Ginger EP","Fouk",2017-07-03,329111,0,false,11149242335,2020-04-17T08:41:54Z,"jazz house,lo-fi house,funky house,disco house,nu disco","Razor-N-Tape Digital",0.907,0.624,6,-11.075,0,0.0679,0.0252,0.175,0.367,0.72,117,4
spotify:track:3T6zu9vlpyVh8j6VMcuExZ,"When We Break","When We Break","Total Giovanni",2015-05-11,284327,0,false,11149242335,2020-04-17T08:42:06Z,"indie soul","Dot Dash Recordings",0.792,0.641,0,-9.242,1,0.0795,0.0914,0.0577,0.103,0.674,111.794,4
spotify:track:6jvqaaUtBmcnxQnf5XKzFo,"Windows","666","Sugar Candy Mountain",2016-07-08,192027,0,false,11149242335,2020-04-17T08:42:57Z,"neopsicodelia,rock psicodélico","People In A Position To Know",0.525,0.635,5,-7.805,1,0.0239,0.147,0.000114,0.122,0.668,82.445,4
spotify:track:7syZpOuK0sBI7Q0IMk2LFd,"Scrap The Book","Walk Dance Talk Sing","Crazy P",2015-05-11,259476,0,false,11149242335,2020-04-17T08:43:12Z,"nu disco,disco house,funky house","Walk Don't Walk Limited",0.801,0.758,11,-7.858,0,0.0549,0.0312,0.769,0.0844,0.456,118.001,4
spotify:track:6TVfkxSos194SFzV6oCeGX,"Found Your Love","Celestial Strut","Bosq,Kuyen",2015-10-16,349257,0,false,11149242335,2020-04-17T08:44:10Z,"disco house,nu disco","Ubiquity Recordings, Inc",0.823,0.74,5,-8.404,1,0.0498,0.0637,0.788,0.0529,0.872,113.974,4
spotify:track:1M2tn4ypiMs3FwlmBvv2Qk,"Liars & Thieves - Dub","Celestial Strut","Bosq,Kaleta",2015-10-16,370593,0,false,11149242335,2020-04-17T08:44:10Z,"disco house,nu disco,funky house","Ubiquity Recordings, Inc",0.914,0.714,0,-11.472,1,0.0526,0.0189,0.809,0.067,0.809,106.997,4
spotify:track:68Y4PbGP0j3NSS6eU98qDi,"Gruff","Gruff EP","Fouk",2016-01-29,304688,24,false,11149242335,2020-04-17T08:44:10Z,"jazz house,lo-fi house,funky house,disco house,nu disco","House of Disco Records",0.829,0.625,9,-10.989,0,0.0537,0.00555,0.863,0.0307,0.963,120.007,4
spotify:track:2p0eDqYl7wREVkorgUvcfr,"Witch Doctor","Walk Dance Talk Sing","Crazy P",2015-05-11,481814,0,false,11149242335,2020-04-17T08:46:39Z,"nu disco,disco house,funky house","Walk Don't Walk Limited",0.69,0.883,2,-8.507,1,0.0374,0.0333,0.736,0.0692,0.254,118.315,4
spotify:track:5sK6OQOckdCY2Q1tgBQz11,"Glittering Clouds","I Thought Of Numbers","Cut Copy",2001-01-01,335653,31,false,11149242335,2020-04-17T08:47:12Z,"dance alternativo,indie dance,electrónica indie,new rave","Universal Music Australia Pty. Ltd.",0.707,0.607,6,-7.042,0,0.0386,0.00845,0.457,0.154,0.369,117.977,4
spotify:track:6MKKPQjpfFxQdbnzM384eK,"Heartbreaker","When We On","Crazy P",2011-09-18,326809,1,false,11149242335,2020-04-17T08:48:02Z,"nu disco,disco house,funky house","2020Vision",0.896,0.765,3,-7.335,0,0.0419,0.153,0.635,0.114,0.657,120.003,4
spotify:track:5q21u5TzhSaJPslac3xce8,"Sometimes","Illumination","Miami Horror",2010-08-20,253728,0,false,11149242335,2020-04-17T08:48:55Z,"nu disco,electroclash,indie dance","Miami Horror",0.581,0.861,7,-4.992,0,0.0334,0.0173,0.0000785,0.175,0.45,124.992,4
spotify:track:2elj70iBhDLecyW9aQbGtQ,"Slumming It","Head Over Heels","Chromeo",2018-06-15,270853,38,false,11149242335,2020-04-17T08:49:12Z,"nu disco,dance alternativo,indie dance","Big Beat Records/Atlantic",0.875,0.647,5,-4.808,1,0.0357,0.138,0.00237,0.172,0.903,109.985,4
